eval,holdout_ood_type,method,layer,n_train,n_test,auroc,auprc,brier,nll,ece,recall_at_5fpr
leave_one_ood_type_out,python,mahalanobis,2.0,150480,20840,0.7849250494625561,0.8040637590393516,,,,0.31636029411764705
leave_one_ood_type_out,python,standardized_activation_norm,2.0,150480,20840,0.5282626830852823,0.6310973481841042,,,,0.1927389705882353
leave_one_ood_type_out,python,deterministic_logistic,3.0,150480,20840,0.6972900148387668,0.73632641566773,0.2405597271292645,0.8511052880047548,0.11841056880876843,0.25183823529411764
leave_one_ood_type_out,python,laplace_predictive_mean,3.0,150480,20840,0.6974527567992559,0.7363728005103674,0.24039924976825428,0.8501487398472778,0.11775805163006593,0.2522977941176471
leave_one_ood_type_out,python,ridge_classifier,3.0,150480,20840,0.698745787377451,0.7346305857645332,,,,0.24834558823529412
leave_one_ood_type_out,python,mahalanobis,3.0,150480,20840,0.7271372715125206,0.7572781726483027,,,,0.25919117647058826
leave_one_ood_type_out,python,standardized_activation_norm,3.0,150480,20840,0.47212494278584927,0.5941678990881767,,,,0.16746323529411763
leave_one_ood_type_out,python,deterministic_logistic,4.0,150480,20840,0.7221891795121662,0.7554490994404026,0.22805013622194803,0.7647522772513176,0.10457052871978263,0.2910845588235294
leave_one_ood_type_out,python,laplace_predictive_mean,4.0,150480,20840,0.7222016605023033,0.7553015693531226,0.2279851330229858,0.7637889110024626,0.10433986838734949,0.28979779411764706
leave_one_ood_type_out,python,ridge_classifier,4.0,150480,20840,0.726306180604772,0.7569570088146313,,,,0.2890625
leave_one_ood_type_out,python,mahalanobis,4.0,150480,20840,0.685959278289629,0.7246090314672221,,,,0.2329044117647059
leave_one_ood_type_out,python,standardized_activation_norm,4.0,150480,20840,0.41822259626742264,0.5603741394918922,,,,0.15119485294117646
leave_one_ood_type_out,python,deterministic_logistic,5.0,150480,20840,0.7469026565822112,0.7565113783621609,0.22295899151802967,0.6598419373253794,0.12016693441617002,0.24880514705882353
leave_one_ood_type_out,python,laplace_predictive_mean,5.0,150480,20840,0.7468260680590006,0.7563469634573639,0.22291773719453892,0.6594136145012255,0.11974599621988335,0.24917279411764706
leave_one_ood_type_out,python,ridge_classifier,5.0,150480,20840,0.7577457163211669,0.7592520038564436,,,,0.24329044117647058
